101
2642 1209
2643 1200
2643 1195
2643 1193
2645 1186
2647 1183
2648 1180
2651 1162
2647 1171
2656 1163
2666 1139
2661 1146
2658 1155
2649 1206
2649 1206
2665 1134
2669 1109
2669 1100
2668 1096
2650 1200
2649 1210
2648 1197
2648 1194
2651 1187
2656 1177
2657 1165
2657 1162
2658 1155
2665 1149
2668 1140
2670 1124
2670 1114
2664 1128
2673 1115
2675 1105
2673 1090
2674 1068
2672 1059
2666 1049
2665 1045
2664 1029
2664 1021
2660 1007
2659 1001
2659 1001
2659 1015
2660 1009
2659 1003
2657 1001
2657 994
2658 994
2658 993
2662 995
2658 1018
2658 1018
2657 1016
2659 1027
2659 1027
2659 1025
2659 1024
2659 1021
2673 1087
2679 1102
2678 1096
2677 1089
2676 1080
2675 1076
2675 1074
2672 1056
2672 1052
2668 1045
2666 1043
2666 1038
2665 1036
2665 1033
2669 1101
2669 1086
2669 1082
2669 1078
2669 1072
2669 1071
2667 1067
2666 1061
2666 1059
2666 1056
2665 1051
2663 1047
2657 1020
2657 1019
2655 1005
2660 1034
2660 1030
2660 1029
2663 1012
2659 1001
2650 1184
2651 1176
2651 1169
2658 1158
2660 1149
2665 1115
