# ガウスノイズ付加データ No.0 (ガウスノイズの分散: 0.5)
point
# データ数
1331
# データ (ここから)
-75.5887 -115.174 -105.413
-68.872 -119.254 -86.5776
-65.1453 -121.809 -66.167
-60.8108 -126.524 -46.5915
-55.6865 -128.307 -27.9456
-50.4338 -132.846 -9.10374
-45.2129 -135.032 9.47528
-40.9221 -138.576 30.5549
-35.1361 -140.739 49.7602
-31.2961 -143.071 67.0251
-25.656 -148.122 86.2376
-83.5423 -95.6308 -98.4987
-77.7549 -100.45 -80.8499
-73.6343 -105.246 -61.5313
-69.2101 -109.029 -41.6728
-62.737 -109.82 -24.3086
-58.8733 -113.942 -2.91083
-53.0953 -115.383 14.3885
-47.8734 -120.575 34.7873
-43.9024 -124.193 53.6149
-37.9599 -126.573 74.1837
-33.215 -128.478 91.5884
-90.0371 -80.7616 -93.4923
-86.5 -83.0588 -75.2203
-80.9349 -84.9843 -56.4033
-75.657 -89.7031 -36.9903
-71.1714 -93.2401 -17.9222
-64.901 -96.8437 1.01608
-61.0109 -100.292 18.8731
-55.2702 -102.576 39.2715
-51.1846 -106.348 58.939
-45.6044 -109.912 77.7676
-39.9609 -111.833 97.0689
-98.495 -63.9749 -89.7377
-93.1546 -65.334 -69.3116
-87.8605 -69.5606 -51.8213
-83.2665 -71.9909 -31.8419
-77.8114 -76.1089 -13.2374
-72.3671 -79.4329 7.14507
-67.7946 -80.7595 24.1522
-61.6118 -85.5804 43.8
-58.7704 -88.1509 64.2558
-53.8271 -91.4099 83.0517
-48.5537 -94.9783 99.7113
-106.575 -45.3621 -84.0594
-101.281 -48.3539 -66.3945
-96.9627 -52.1633 -48.2033
-90.2912 -54.6926 -27.5012
-86.2217 -58.7179 -6.39682
-80.5293 -61.0072 11.7327
-75.6355 -63.2545 31.1545
-70.5187 -67.9249 49.0933
-65.5004 -71.4725 68.2492
-62.7998 -73.7001 87.16
-56.0165 -76.1116 104.653
-112.833 -27.184 -79.0492
-108.403 -30.3331 -60.6566
-104.321 -34.1442 -41.4717
-98.3036 -38.24 -21.3806
-92.8764 -39.698 -2.99846
-88.7711 -42.6762 15.1426
-84.0754 -46.2014 36.1739
-79.0167 -49.151 54.1265
-73.8378 -53.1647 73.4517
-69.0203 -55.6087 92.2046
-64.1098 -59.019 111.77
-121.746 -9.33765 -74.1035
-117.248 -13.1352 -55.9057
-111.041 -15.9927 -36.1895
-107.087 -19.0099 -17.8134
-100.704 -22.8331 2.07743
-96.2055 -24.7205 21.2866
-90.4036 -28.655 40.3443
-85.8537 -30.4997 58.2375
-81.6622 -35.2375 78.3705
-77.0987 -38.7762 96.6664
-71.907 -41.2865 115.672
-128.451 9.33153 -69.7789
-125.04 5.90932 -50.4348
-119.811 1.98817 -31.4434
-114.75 -1.53361 -11.9329
-108.032 -4.25397 6.38883
-104.756 -7.51326 27.309
-99.4139 -11.4022 44.6329
-94.9534 -13.913 64.6693
-89.2611 -16.4474 82.4055
-84.0749 -18.5748 103.372
-78.4953 -24.0784 121.471
-137.994 26.5124 -65.4079
-132.201 23.2737 -44.6989
-126.567 21.0063 -27.5358
-121.742 14.8716 -7.45626
-116.797 13.0884 11.6887
-113.205 10.1731 30.6179
-108.199 6.73308 51.0562
-101.698 2.88436 67.883
